elbrodur_h2,,elbrodur_d2,
X,Y,X,Y
1.3050511551034436,1.2940216835459104e-9,1.3097315362619844,9.137192559519588e-10
1.305097958915029,1.1625998590752453e-9,1.308292319055733,7.78099034014563e-10
1.3640239577010553,1.0179324809152833e-9,1.3656971939652336,6.997460165552456e-10
1.3610402147124856,9.393199952901895e-10,1.3657732501590598,5.879759902695161e-10
1.4442339898055447,6.295055574415647e-10,1.4473230413701816,5.361108246332019e-10
1.5395324006698794,3.9464242588900155e-10,1.442747968787708,5.966682861143437e-10
1.5379293701230794,4.888947549116067e-10,1.5411529826460242,3.0602043862750325e-10
1.6468593911116636,2.7542732270825266e-10,1.5381692396574544,2.823872136507755e-10
1.6422316642411565,3.457885417468183e-10,1.6455605853401685,1.70096452442383e-10
1.7753943586780847,1.615782876952706e-10,1.7755581720186338,1.1106916176377249e-10
1.777137800659641,9.458832442447677e-11,1.7787174293006487,8.05529723584199e-11
